trait_name,trait_value,Species Count
nitrogen_fixing,non_nitrogen_fixer (6),14
seed_germination_treatment,heat+smoke (1),14
storage_organ,stem_tuber (3),14
lifespan,100 (1); 50-500 (1),14
dispersal_syndrome,myrmecochory (1),14
reproductive_maturity,0--1 (2),14
plant_growth_form,herb (12),14
stem_growth_habit,climbing (V),14
fire_time_from_fire_to_flowering,24 (1),14
fire_time_from_fire_to_fruiting,3.48837209302326 (1),14
stem_growth_habit,erect (4),14
life_history,perennial,14
bud_bank_location,epicormic_buds (f),14
fire_time_from_fire_to_flowering,8.83720930232558 (1),14
pollination_syndrome,insect (1); vertebrate (1),14
fire_time_from_fire_to_fruiting,10.2325581395349 (1),14
flowering_time,nnnnnnnyyyyn (V),14
plant_type_by_resource_use,hydrohalophyte (1),14
pollination_syndrome,abiotic (1); insect (1); wind (1),14
flowering_time,nnnnnnnyyynn (V),14
flower_colour,blue_purple (1); green (1),13
dispersal_syndrome,hydrochory (V),13
fruit_colour,green (1),13
storage_organ,stem_tuber (f),13
dispersers,vertebrates (V),13
life_history,perennial (10),13
flowering_time,nnnnnnnnyyyn (2),13
lifespan,20--50 (1); <50 (1),13
seed_germination_time,70 (1),13
fruit_colour,brown (2),13
flowering_time,yynnnnnnnnny (2),13
fire_time_from_fire_to_peak_flowering,36 (1); 60 (1),13
reproductive_maturity,0--1 (1); 1 (1),13
plant_height,0.9 (V),13
plant_height,15 (V),13
pollination_system,insect (1),13
plant_growth_form,herb (1),13
stem_growth_habit,rosette (V),13
fire_time_from_fire_to_fruiting,11.6279069767442 (1),13
flowering_time,nnnnnnyyyynn (V),13
plant_tolerance_water_logged_soils,less_than_1_month (3),13
plant_height,0.2 (V),13
lifespan,50--100 (1); <10 (1),13
plant_growth_substrate,terrestrial (4),13
sex_type,monoecious (3),13
sex_type,dioecious (V),13
resprouting_capacity,resprouts (g),13
fruit_colour,black (2),13
sex_type,dioecious (3),12
stem_growth_habit,spreading (1),12
plant_growth_form,tree (5),12
stem_growth_habit,stoloniferous (V),12
plant_growth_form,climber (V),12
flowering_time,nnnnnnnnyyyn (f),12
plant_growth_form,tree (8),12
plant_height,0.5 (1),12
fruit_colour,brown (1); yellow (1),12
plant_height,2.5 (V),12
bud_bank_location,root_crown (1),12
lifespan,>500 (2),12
bud_bank_location,basal_stem_buds (1); bud-bearing_root (1),12
fire_time_from_fire_to_fruiting,4.65116279069767 (1),12
plant_height,6 (V),12
post_fire_recruitment,post_fire_recruitment (4),12
pollination_syndrome,abiotic (1); self (1); wind (1),12
life_history,annual (8),12
flower_colour,green (1); red_brown (1); white_cream (1),12
flowering_time,nnnnnnnnyyyy (V),12
sex_type,gynomonoecious (1); hermaphrodite (1); monoecious (1),12
sex_type,hermaphrodite (g),12
bud_bank_location,none (V),12
life_history,annual (3),12
fruiting_time,yynnnnnnyyyy (1),12
seed_germination_time,105 (1),12
reproductive_maturity,3 (1),11
seed_germination_treatment,heat (1); scarify (1),11
dispersal_syndrome,zoochory (2),11
stem_growth_habit,rosette (2),11
vegetative_reproduction_ability,vegetative (3),11
plant_height,0.3 (1),11
reproductive_maturity,2 (V),11
flowering_time,nnnnnnnnnnnn (1),11
resprouting_capacity,fire_killed (6),11
lifespan,100 (g),11
bud_bank_location,bud-bearing_root (V),11
stem_growth_habit,caespitose (1); erect (1),11
plant_height,0.15 (V),11
flower_colour,green (1); red_brown (1),11
flower_colour,blue_purple (1); white_cream (1); yellow_orange (1),11
fruit_colour,yellow (V),11
dispersal_syndrome,barochory (1); zoochory (1),11
serotiny,serotinous (1),11
seedbank_location,soil_seedbank (V),11
life_history,annual (2),11
clonal_spread_mechanism,aboveground_clonal (1),11
flower_colour,pink (V),11
plant_growth_form,tree,11
dispersers,birds (2),11
seedbank_longevity_class,transient (3),11
seedling_establishment_conditions,establish_anytime (2),11
dispersers,birds (1); wind (1),11
dispersal_syndrome,anemochory (4),11
dispersers,invertebrates (1); wind (1),11
plant_height,2 (1),10
seedbank_location,canopy_seedbank (2),10
flowering_time,ynnnnnnnyyyy (V),10
plant_tolerance_inundation,aquatic (1),10
flower_structural_sex_type,bisexual (2),10
plant_tolerance_water_logged_soils,aquatic (1),10
dispersers,wind (4),10
fruiting_time,yyyyynnnyyyy (1),10
plant_tolerance_inundation,less_than_1_month (V),10
flowering_cues,rain (1),10
pollination_system,biotic_specialised (1),10
flowering_time,yyyyynnnnnny (V),10
seedbank_location,soil_seedbank_absent (1),10
fire_time_from_fire_to_peak_flowering,48 (1); 72 (1),10
dispersal_syndrome,myrmecochory (3),10
