Occurrence ID,Scientific Name,Event Date,Dataset Name,Reserve Name,Decimal Latitude,Decimal Longitude,Individual Count,Reproductive Condition,Establishment Means,Occurrence Remarks,Year,Month,Day,Habitat,Sampling Protocol,Locality,Location Remarks,Identified By,Date Identified,Owner Institution Code,Basis of Record,Data Generalizations,Recorded By,Client Business Name
38437,Erythrina x sykesii,2004-05-01T12:00:00,Walshaw Flora&Fauna Apndx4 POM,Walshaw Park,-33.901345,151.004631,,,,,2004,5,1,,,,,,,,,,,CB Council
38438,Erythrina x sykesii,2004-05-01T12:00:00,Walshaw Flora&Fauna Apndx4 POM,Walshaw Park,-33.901345,151.004631,,,,,2004,5,1,,,,,,,,,,,CB Council
38439,Erythrina x sykesii,2004-05-01T12:00:00,Walshaw Flora&Fauna Apndx4 POM,Walshaw Park,-33.901345,151.004631,,,,,2004,5,1,,,,,,,,,,,CB Council
38453,Eucalyptus amplifolia,2004-05-01T12:00:00,Adept Tracey Flood Ruse Flora&Fauna Apndx6 POM,Adept Lane Reserve,-33.930189,151.035261,,,,,2004,5,1,,,,,,,,,,,CB Council
38454,Eucalyptus amplifolia,2004-05-01T12:00:00,Adept Tracey Flood Ruse Flora&Fauna Apndx6 POM,Ruse Park,-33.926102,151.034921,,,,,2004,5,1,,,,,,,,,,,CB Council
38470,Eucalyptus amplifolia,2004-05-01T12:00:00,Bankstown Airport Reserves Flora&Fauna Apndx6 POM,Airport Reserve,-33.929014,150.985006,,,,,2004,5,1,,,,,,,,,,,CB Council
38471,Eucalyptus amplifolia,2004-05-01T12:00:00,Bankstown Airport Reserves Flora&Fauna Apndx6 POM,Cnr HLD and Milperra Road,-33.931506,150.97956,,,,,2004,5,1,,,,,,,,,,,CB Council
38472,Eucalyptus amplifolia,2004-05-01T12:00:00,Birrong Sefton Flora&Fauna Apndx3 POM,Maluga Passive Pk,-33.894195,151.015561,,,,,2004,5,1,,,,,,,,,,,CB Council
38455,Eucalyptus amplifolia,2004-05-01T12:00:00,CondellPark Flora&Fauna Apndx4 POM,Marion Reserve,-33.914839,151.010151,,,,,2004,5,1,,,,,,,,,,,CB Council
38456,Eucalyptus amplifolia,2004-05-01T12:00:00,Deepwater Flora&Fauna Apndx5 POM,Deepwater,-33.949066,150.976607,,,,,2004,5,1,,,,,,,,,,,CB Council
38457,Eucalyptus amplifolia,2004-05-01T12:00:00,Deepwater Flora&Fauna Apndx5 POM,Kelso Creek,-33.950301,150.984015,,,,,2004,5,1,,,,,,,,,,,CB Council
38458,Eucalyptus amplifolia,2004-05-01T12:00:00,EastHills Flora&Fauna Apndx5 POM,East Hills Park,-33.96446,150.982875,,,,,2004,5,1,,,,,,,,,,,CB Council
38459,Eucalyptus amplifolia,2004-05-01T12:00:00,EastHills Flora&Fauna Apndx5 POM,Monash Reserve,-33.963992,150.988145,,,,,2004,5,1,,,,,,,,,,,CB Council
38460,Eucalyptus amplifolia,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Lansdowne,-33.896245,150.978391,,,,,2004,5,1,,,,,,,,,,,CB Council
38462,Eucalyptus amplifolia,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.909351,150.975191,,,,,2004,5,1,,,,,,,,,,,CB Council
38461,Eucalyptus amplifolia,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.906477,150.980754,,,,,2004,5,1,,,,,,,,,,,CB Council
38463,Eucalyptus amplifolia,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.900525,150.97568,,,,,2004,5,1,,,,,,,,,,,CB Council
38464,Eucalyptus amplifolia,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.893451,150.970339,,,,,2004,5,1,,,,,,,,,,,CB Council
38467,Eucalyptus amplifolia,2004-05-01T12:00:00,Milperra area Flora&Fauna Apndx5 POM,Auld Reserve,-33.931086,150.973056,,,,,2004,5,1,,,,,,,,,,,CB Council
38465,Eucalyptus amplifolia,2004-05-01T12:00:00,Milperra area Flora&Fauna Apndx5 POM,Piper Reserve,-33.937765,150.972901,,,,,2004,5,1,,,,,,,,,,,CB Council
38466,Eucalyptus amplifolia,2004-05-01T12:00:00,Milperra area Flora&Fauna Apndx5 POM,Vale of Ah Reserve,-33.931086,150.973056,,,,,2004,5,1,,,,,,,,,,,CB Council
38473,Eucalyptus amplifolia,2004-05-01T12:00:00,Revesby and Padstow reserves Flora&Fauna Apndx6 POM,Montgomery Reserve,-33.954794,151.020454,,,,,2004,5,1,,,,,,,,,,,CB Council
38474,Eucalyptus amplifolia,2004-05-01T12:00:00,Southern Reserves Flora&Fauna Apndx4 POM,Picnic Point Reserve,-33.977563,150.996147,,,,,2004,5,1,,,,,,,,,,,CB Council
38475,Eucalyptus amplifolia,2004-05-01T12:00:00,Southern Reserves Flora&Fauna Apndx4 POM,The River Reserve,-33.969546,151.016111,,,,,2004,5,1,,,,,,,,,,,CB Council
38476,Eucalyptus amplifolia,2004-05-01T12:00:00,Southern Reserves Flora&Fauna Apndx4 POM,Thomas Street Depot,-33.96590278,151.013035,,,,,2004,5,1,,,,,,,,,,,CB Council
38468,Eucalyptus amplifolia,2004-05-01T12:00:00,The Crest-Appendix,Bellevue,-33.910871,150.998776,,,,,2004,5,1,,,,,,,,,,,CB Council
38469,Eucalyptus amplifolia,2004-05-01T12:00:00,The Crest-Appendix,Crest,-33.908539,150.99598,,,,,2004,5,1,,,,,,,,,,,CB Council
38485,Eucalyptus baueriana,2004-05-01T12:00:00,Bankstown Airport Reserves Flora&Fauna Apndx6 POM,Kentucky Reserve,-33.922449,150.975933,,,,,2004,5,1,,,,,,,,,,,CB Council
38477,Eucalyptus baueriana,2004-05-01T12:00:00,Deepwater Flora&Fauna Apndx5 POM,Deepwater,-33.949066,150.976607,,,,,2004,5,1,,,,,,,,,,,CB Council
38487,Eucalyptus baueriana,2004-05-01T12:00:00,EastHills Flora&Fauna Apndx5 POM,Monash Reserve,-33.963992,150.988145,,,,,2004,5,1,,,,,,,,,,,CB Council
38478,Eucalyptus baueriana,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Lansdowne,-33.896245,150.978391,,,,,2004,5,1,,,,,,,,,,,CB Council
38480,Eucalyptus baueriana,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.909351,150.975191,,,,,2004,5,1,,,,,,,,,,,CB Council
38479,Eucalyptus baueriana,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.906477,150.980754,,,,,2004,5,1,,,,,,,,,,,CB Council
38481,Eucalyptus baueriana,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.900525,150.97568,,,,,2004,5,1,,,,,,,,,,,CB Council
38482,Eucalyptus baueriana,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.893451,150.970339,,,,,2004,5,1,,,,,,,,,,,CB Council
38484,Eucalyptus baueriana,2004-05-01T12:00:00,Milperra area Flora&Fauna Apndx5 POM,Auld Reserve,-33.931086,150.973056,,,,,2004,5,1,,,,,,,,,,,CB Council
38483,Eucalyptus baueriana,2004-05-01T12:00:00,Milperra area Flora&Fauna Apndx5 POM,Vale of Ah Reserve,-33.931086,150.973056,,,,,2004,5,1,,,,,,,,,,,CB Council
38486,Eucalyptus baueriana,2004-05-01T12:00:00,Southern Reserves Flora&Fauna Apndx4 POM,Picnic Point Reserve,-33.977563,150.996147,,,,,2004,5,1,,,,,,,,,,,CB Council
38488,Eucalyptus baueriana,2004-05-01T12:00:00,The Crest-Appendix,Bellevue,-33.910871,150.998776,,,,,2004,5,1,,,,,,,,,,,CB Council
38489,Eucalyptus beyeri,2004-05-01T12:00:00,Adept Tracey Flood Ruse Flora&Fauna Apndx6 POM,Adept Lane Reserve,-33.930189,151.035261,,,,,2004,5,1,,,,,,,,,,,CB Council
38490,Eucalyptus beyeri,2004-05-01T12:00:00,Adept Tracey Flood Ruse Flora&Fauna Apndx6 POM,Ruse Park,-33.926102,151.034921,,,,,2004,5,1,,,,,,,,,,,CB Council
38491,Eucalyptus beyeri,2004-05-01T12:00:00,Deepwater Flora&Fauna Apndx5 POM,Kelso Creek,-33.950301,150.984015,,,,,2004,5,1,,,,,,,,,,,CB Council
38492,Eucalyptus beyeri,2004-05-01T12:00:00,EastHills Flora&Fauna Apndx5 POM,East Hills Park,-33.96446,150.982875,,,,,2004,5,1,,,,,,,,,,,CB Council
38493,Eucalyptus beyeriana,2004-05-01T12:00:00,Norfolk Flora&Fauna Apndx3 POM,Norfolk Reserve,-33.893604,151.062656,,,,,2004,5,1,,,,,,,,,,,CB Council
38494,Eucalyptus bosistoana,2004-05-01T12:00:00,Deepwater Flora&Fauna Apndx5 POM,Deepwater,-33.949066,150.976607,,,,,2004,5,1,,,,,,,,,,,CB Council
38495,Eucalyptus bosistoana,2004-05-01T12:00:00,The Crest-Appendix,Crest,-33.908539,150.99598,,,,,2004,5,1,,,,,,,,,,,CB Council
