scientific_name,common_name,reserve_name,decimal_latitude,decimal_longitude,date_of_observation,plant_growth_form
Bossiaea rhombifolia,,Not in a reserve,-33.974555,151.029417,15/4/1999 0:00,shrub (5)
Bossiaea scolopendria,,Not in a reserve,-33.972536,151.037905,14/12/2010 0:00,shrub (4)
Bossiaea scolopendria,,Not in a reserve,-33.916667,151.1,,shrub (4)
Bossiaea sp.,Bossiaea,Thomas Street Depot,-33.96590278,151.013035,1/5/2004 12:00,
Bossiaea sp.,Bossiaea,Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,
Bossiaea stephensonii,,Monash Reserve,-33.963992,150.988145,1/5/2004 12:00,
Bothriochloa decipiens var. decipiens,,Lansdowne,-33.894106,150.975281,6/11/2014 0:00,graminoid (1); graminoid_not_tussock (1); tussock (1)
Bougainvillea glabra,,Lansdowne,-33.895905,150.967885,11/12/2009 0:00,
Bougainvillea sp.,Bougainvillea,Kelso Beach,-33.953352,150.98246,1/5/2004 12:00,
Brachyscome graminea,,Deepwater,-33.949066,150.976607,1/5/2004 12:00,herb (10)
Brachyscome graminea,,Deepwater,-33.951203,150.979839,18/7/2022 23:27,herb (10)
Brachysema lanceolata,,Alma Reserve,-33.963313,151.038039,1/5/2004 12:00,
Brassica sp.,Mustard,Cox Reserve,-33.969139,151.021958,1/5/2004 12:00,
Briza major,Quaking Grass,Amaroo,-33.908,150.982962,1/5/2004 12:00,
Briza major,Quaking Grass,Lansdowne,-33.896245,150.978391,1/5/2004 12:00,
Bromeliad sp.,Bromeliad,Little Salt Pan Creek Reserve,-33.96882,151.029014,1/5/2004 12:00,
Buckinghamia celsissima,Ivory Curl Flower,Deepwater,-33.949066,150.976607,1/5/2004 12:00,
Bulbophyllum globuliforme,Miniature Mossorchid,Not in a reserve,-33.9,151,12/9/1948 0:00,herb (3)
Bulbophyllum globuliforme,Miniature Mossorchid,Not in a reserve,-33.9,151,19/10/1955 0:00,herb (3)
Caesia sp.,Caesia,Manahan Reserve,-33.92033,151.006218,1/5/2004 12:00,
Caesia sp.,Caesia,Airport Reserve,-33.929014,150.985006,1/5/2004 12:00,
Caladenia alata,,Not in a reserve,-33.975,151,18/9/2007 0:00,herb (7)
Caladenia capillata,White Daddy-long-legs,Not in a reserve,-33.916667,151.116667,10/10/1903 0:00,herb (6)
Caladenia capillata,White Daddy-long-legs,Not in a reserve,-33.916667,151.1,,herb (6)
Caladenia fuscata,,Not in a reserve,-33.977113,151.009022,23/9/2019 10:21,herb (5)
Caladenia fuscata,,Not in a reserve,-33.976457,151.008998,23/9/2019 11:00,herb (5)
Caladenia paludosus,Swamp Spider Orchid,Deepwater,-33.949066,150.976607,1/5/2004 12:00,
Calandrinia pickeringii,,East Hills Park,-33.96446,150.982875,1/5/2004 12:00,herb (4)
Calandrinia pickeringii,,Kelso Creek,-33.95,150.983333,15/12/2005 0:00,herb (4)
Callistemon comboynensis,Cliff Bottlebrush,Not in a reserve,-33.91509,151.084491,1/4/1943 0:00,shrub (4)
Callistemon pachyphyllus,Wallum Bottlebrush,Not in a reserve,-33.91509,151.084491,1/11/1918 0:00,shrub (4)
Callistemon pallidus,Lemon Bottlebrush,Not in a reserve,-33.916667,151.083333,3/2/1900 0:00,shrub (6); tree (2)
Callistemon pallidus,Lemon Bottlebrush,Not in a reserve,-33.915692,151.129486,22/3/2024 18:03,shrub (6); tree (2)
Callitris rhomboidea,,Picnic Point Reserve,-33.977563,150.996147,1/5/2004 12:00,
