"species_id","scientific_name"
"295","Hypolepis muelleri"
"296","Amyema congener"
"297","Brachychiton populneus"
"298","Pittosporum revolutum"
"299","Olearia microphylla"
"300","Solanum nigrum"
"301","Glycine tabacina"
"302","Stachys arvensis"
"303","Erigeron karvinskianus"
"304","Hypoxis hygrometrica"
"305","Rumex sagittatus"
"306","Cardiospermum grandiflorum"
"307","Pterostylis concinna"
"308","Schinus molle var. areira"
"309","Denhamia silvestris"
"310","Correa reflexa"
"311","Polymeria calycina"
"312","Ceratopetalum apetalum"
"313","Xylomelum pyriforme"
"314","Morus alba"
"315","Asclepias curassavica"
"316","Vicia sativa"
"317","Stylidium productum"
"318","Platycerium bifurcatum"
"319","Eustrephus latifolius"
"320","Acacia myrtifolia"
"321","Einadia nutans"
"322","Melinis repens"
"323","Verbascum virgatum"
"324","Ficinia nodosa"
"325","Urospermum picroides"
"326","Epidendrum x obrienianum"
"327","Acacia falcata"
"328","Cyclospermum leptophyllum"
"329","Allocasuarina littoralis"
"330","Eucalyptus camaldulensis"
"331","Clerodendrum tomentosum"
"332","Hypochaeris radicata"
"333","Tritonia gladiolaris"
"334","Thelymitra peniculata"
"335","Oxalis latifolia"
"336","Eucalyptus grandis"
"337","Amyema gaudichaudii"
"338","Convolvulus farinosus"
"339","Megathyrsus maximus"
"340","Euphorbia hyssopifolia"
"341","Schoenus melanostachys"
"342","Adiantum formosum"
"343","Acacia linifolia"
"344","Chloris gayana"
"345","Toxicodendron succedaneum"
"346","Solanum lycopersicum"
"347","Solanum americanum"
"348","Sclerodontium pallidum"
"349","Pinus patula"
"350","Anredera cordifolia"
"351","Passiflora edulis"
"352","Cladium procerum"
"353","Crassula multicava"
"354","Styphelia sieberi"
"355","Lasiopetalum ferrugineum"
"356","Cyperus gracilis"
"357","Eucalyptus fibrosa"
"358","Hakea dactyloides"
"359","Senna pendula"
"360","Casuarina cunninghamiana"
"361","Solanum sisymbriifolium"
"362","Lolium arundinaceum"
"363","Eucalyptus piperita"
"364","Gleichenia dicarpa"
"365","Acacia binervia"
"366","Caladenia catenata"
"367","Lomandra multiflora"
"368","Cyperus polystachyos"
"369","Euphorbia maculata"
"370","Solidago altissima"
"371","Nandina domestica"
"372","Phyllanthus virgatus"
"373","Eragrostis curvula"
"374","Lysimachia arvensis"
"375","Callistemon viminalis"
"376","Calystegia marginata"
"377","Dichelachne micrantha"
"378","Callisia fragrans"
"379","Macrozamia communis"
"380","Galinsoga parviflora"
"381","Paspalum urvillei"
"382","Solanum prinophyllum"
"383","Acacia baileyana"
"384","Hakea sericea"
"385","Pteris vittata"
"386","Plantago major"
"387","Campsis radicans"
"388","Zantedeschia aethiopica"
"389","Casuarina glauca"
"390","Melilotus albus"
"391","Myoporum acuminatum"
"392","Sporobolus fertilis"
"393","Ipomoea cairica"
"394","Ligustrum sinense"
"395","Lantana montevidensis"
"396","Trifolium glomeratum"
"397","Ficus coronata"
"398","Mirabilis jalapa"
"399","Poa annua"
"400","Petrorhagia nanteuilii"
"401","Spiranthes australis"
"402","Phoenix canariensis"
"403","Dyschoriste nagchana (Nees) Bennet"
"404","Styphelia affinis"
"405","Parsonsia straminea"
"406","Erythrina crista-galli"
"407","Styphelia laeta subsp. laeta"
"408","Drosera glanduligera"
"409","Alphitonia excelsa"
"410","Oxalis debilis"
"411","Eucalyptus racemosa"
"412","Blechnum parrisiae"
"413","Lepidosperma laterale"
"414","Paronychia brasiliana"
"415","Stackhousia viminea"
"416","Celtis australis"
"417","Solanum aviculare"
"418","Goodenia ovata"
"419","Melaleuca diosmatifolia"
"420","Genista monspessulana"
"421","Solenogyne dominii"
"422","Thelymitra ixioides"
"423","Arthropodium milleflorum"
"424","Leionema dentatum"
"425","Lactuca serriola"
"426","Platysace linearifolia"
"427","Tagetes minuta"
"428","Acalypha australis"
"429","Tetragonia tetragonoides"
"430","Acacia parramattensis"
"431","Hemigenia purpurea"
"432","Papaver somniferum"
"433","Samolus repens"
"434","Lomatia silaifolia"
"435","Drosera pygmaea"
"436","Hibbertia aspera"
"437","Eucalyptus robusta"
"438","Senecio madagascariensis"
"439","Axonopus fissifolius"
"440","Cyanthillium cinereum"
"441","Cupaniopsis anacardioides"
"442","Facelis retusa"
"443","Angophora hispida"
"444","Melaleuca linariifolia"
"445","Arundo donax"
"446","Paspalum dilatatum"
"447","Opuntia stricta"
"448","Harpephyllum afrum"
"449","Monotoca elliptica"
"450","Senecio angulatus"
"451","Stylidium lineare"
"452","Ehrharta longiflora"
"453","Juncus usitatus"
"454","Senecio quadridentatus"
