reserve_id,asset_name,location,suburb,asset_type,asset_sub_type,asset_class,shape_file_name,shape_file_path
141,Sando Reserve,"19 Riverside Road, Croydon Park",Croydon Park,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
142,Villiers Reserve,"74 Villiers Road, Padstow Heights",Padstow Heights,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
143,Bankstown Memorial Oval,"231 Chapel Road, Bankstown",Bankstown,Active,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
144,Higgins Street Reserve,"374 Marion Street, Condell Park",Condell Park,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
145,"Unnamed Reserve, Arab Road","49 Arab Road, Padstow",Padstow,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
146,Stuart Street Reserve,"16 Stuart Street, Padstow",Padstow,Active,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
147,Rotary Park South,"142 Belmore Road, Riverwood",Riverwood,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
148,Chelmsford Reserve,"33 Chelmsford Avenue, Bankstown",Bankstown,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
149,Ray McCormack Reserve,"1A Macarthur Avenue, Revesby",Revesby,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
150,James Folster Reserve,"6 Crieff Street, Ashbury",Ashbury,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
151,Maxwell Park,"160 William Street, Bankstown",Bankstown,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
152,Marie Street - Small Park,"Marie Street, Belmore",Belmore,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
