Species Name,Family,Genus,Local Status,Fire Traits
Acacia decurrens,,,,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)'}"
Acacia echinula,,,,"{'post_fire_recruitment': 'post_fire_recruitment (g)', 'resprouting_capacity': 'fire_killed (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)', 'fire_time_from_fire_to_flowering': '43.2558139534884 (1)'}"
Acacia falcata,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)', 'fire_time_from_fire_to_flowering': '24.1860465116279 (1); 36.2790697674419 (1)', 'fire_time_from_fire_to_fruiting': '20.9302325581395 (1)'}"
Acacia fimbriata,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1); post_fire_recruitment_absent (1)', 'resprouting_capacity': 'fire_killed (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)'}"
Acacia floribunda,,,,"{'post_fire_recruitment': 'post_fire_recruitment (3)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_flowering': '30 (1); 31.3953488372093 (1)'}"
Acacia genistifolia,,,,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'fire_killed (5)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)', 'fire_time_from_fire_to_flowering': '36 (1)'}"
Acacia implexa,,,,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)'}"
Acacia linifolia,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)', 'fire_time_from_fire_to_flowering': '13.0232558139535 (1); 24.1860465116279 (1); 36.2790697674419 (1)', 'fire_time_from_fire_to_fruiting': '22.5581395348837 (1)'}"
Acacia longifolia,,,,"{'post_fire_recruitment': 'post_fire_recruitment (3)', 'resprouting_capacity': 'fire_killed (5)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)'}"
Acacia maidenii,,,,"{'post_fire_recruitment': 'post_fire_recruitment (3)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)'}"
Acacia mearnsii,,,,"{'post_fire_recruitment': 'post_fire_recruitment (3)', 'resprouting_capacity': 'fire_killed (V); resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)'}"
Acacia myrtifolia,,,,"{'post_fire_recruitment': 'post_fire_recruitment (4)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_flowering': '21 (1); 30.4651162790698 (1); 36.2790697674419 (1)', 'fire_time_from_fire_to_fruiting': '34.6511627906977 (1)', 'fire_time_from_fire_to_flowering_decline': '72 (1)', 'fire_time_from_fire_to_peak_flowering': '48 (1)'}"
Acacia parramattensis,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)'}"
Acacia parvipinnula,,,,"{'post_fire_recruitment': 'post_fire_recruitment (g)', 'resprouting_capacity': 'fire_killed (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)', 'fire_time_from_fire_to_flowering': '31.3953488372093 (1)'}"
Acacia stricta,,,,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)'}"
Acacia suaveolens,,,,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_flowering': '16.5116279069767 (1); 24.1860465116279 (1)', 'fire_time_from_fire_to_fruiting': '22.5581395348837 (1)', 'fire_time_from_fire_to_peak_flowering': '24 (1); 48 (1)'}"
Acacia prominens,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (2)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)'}"
Acacia ulicifolia,,,,"{'post_fire_recruitment': 'post_fire_recruitment (3)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_flowering': '15.5813953488372 (1); 24.1860465116279 (1); 36.2790697674419 (1)', 'fire_time_from_fire_to_fruiting': '23.4883720930233 (1)', 'fire_time_from_fire_to_peak_flowering': '36 (1); 60 (1)'}"
Acianthus caudatus,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (1)', 'post_fire_flowering': 'fire_enhanced_flowering (1)', 'resprouting_capacity': 'resprouts (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)', 'fire_time_from_fire_to_flowering': '12 (1); 6.51162790697674 (1)', 'fire_time_from_fire_to_fruiting': '8.83720930232558 (1)'}"
