Species Name,Family,Genus,Local Status,Fire Traits
Agonis flexuosa,Myrtaceae,Agonis,Exotic,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'resprouts (1)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_flowering': '30 (1)'}"
Agrostis capillaris,Poaceae,Agrostis,Exotic,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (1)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'resprouting_capacity_proportion_individuals': '1 (f)', 'fire_time_from_fire_to_flowering': '10 (1)'}"
Ailanthus altissima,Simaroubaceae,Ailanthus,Exotic,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (3)'}"
Aira caryophyllea,Poaceae,Aira,Exotic,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'resprouting_capacity_proportion_individuals': '1 (f)', 'fire_time_from_fire_to_flowering': '12 (1)'}"
Aira cupaniana,Poaceae,Aira,Exotic,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'fire_killed (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'resprouting_capacity_proportion_individuals': '1 (f)', 'fire_time_from_fire_to_flowering': '12 (1)'}"
Ajuga australis,Lamiaceae,Ajuga,native,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (3)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)'}"
Alchornea ilicifolia,Euphorbiaceae,Alchornea,native,{'resprouting_capacity': 'resprouts (2)'}
Alisma plantago-aquatica,Alismataceae,Alisma,native,"{'resprouting_capacity': 'resprouts (1)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)'}"
Allium triquetrum,Alliaceae,Allium,Exotic,{'resprouting_capacity': 'resprouts (1)'}
Allocasuarina littoralis,Casuarinaceae,Allocasuarina,native,"{'post_fire_recruitment': 'post_fire_recruitment (4)', 'resprouting_capacity': 'fire_killed (5); resprouts (5)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'resprouting_capacity_proportion_individuals': '0 (2)', 'fire_time_from_fire_to_fruiting': '36 (1); 41.6279069767442 (1)', 'fire_time_from_fire_to_flowering': '28.8372093023256 (1); 36 (1)'}"
